name,ric,currency,org_permid,isin
KIMLY,KIML.SI,S$,5055036281.0,SG1DF1000008
KINGSMEN CREATIVES,KMEN.SI,S$,4295888089.0,SG1W76939881
KODA,KODA.SI,S$,4295887759.0,SG1CB1000009
KOH BROTHERS ECO ENGR.,KBEE.SI,S$,4295887789.0,SG1S95928879
KOH BROTHERS GROUP,KBRO.SI,S$,4295887571.0,SG1B06007705
KORE US REIT,KORE.SI,U$,5058610714.0,SG1EA1000007
LE TREE HOLDINGS,LETR.SI,S$,4295887990.0,SG1W64939547
LHN,LHNL.SI,S$,5045624136.0,SG1AH9000002
LHT HOLDINGS,LHTH.SI,S$,4295887924.0,SG1BG5000006
LION ASIAPAC,LIAS.SI,S$,4295887623.0,SG1BD6000002
LMS COMPLIANCE,LMSC.SI,S$,5083474788.0,SGXE55274299
LOW KENG HUAT (SING.) SUSP - SUSP.16/02/26,LKH.SI,S$,4295887509.0,SG1W86940333
LS 2 HOLDINGS,LS2H.SI,S$,5082055557.0,SGXE89787605
LUM CHANG CREATIONS,LUMC.SI,S$,5095919388.0,SGXE10283153
LUXKING GROUP HDG.,LUKG.SI,S$,4295864850.0,BMG570141058
MAGNITUDE INTERNATIONAL,MAGH.O,U$,5095331528.0,KYG57Y0E1004
MDR,MDRT.SI,S$,4295887811.0,SGXE29738106
MEGACHEM,MEGA.SI,S$,4295888152.0,SG1O60914015
MEMIONTEC HLDGS,MEMI.SI,S$,5073066200.0,SGXE13155820
METAOPTICS,METO.SI,S$,5096754811.0,KYG93Y1D1074
METIS ENERGY,METIS.SI,S$,4295887715.0,SG1I14879601
MEWAH INTERNATIONAL,MEWI.SI,S$,5001213089.0,KYG6074A1085
MM2 ASIA SUSP - SUSP.11/11/25,MM2A.SI,S$,5044049202.0,SG1DC0000006
MULTI-CHEM,MCHE.SI,S$,4295888000.0,SG1BA2000002
MYP,MYPL.SI,S$,4295888124.0,SG1S80928447
NAM CHEONG,NMCG.SI,S$,4295864703.0,BMG6361R3014
NANOFILM TECHNOLOGIES INTERNATIONAL,NANO.SI,S$,5042223709.0,SGXE61652363
NEW WAVE HOLDINGS,NEWW.SI,S$,4295887660.0,SG1Q78923675
NOEL GIFTS INTL.,NOEL.SI,S$,4295887943.0,SG0543000335
NOONTALK MEDIA,NOON.SI,S$,5083403006.0,SGXE33048260
NUTRYFARM INTL. SUSP - SUSP.11/04/22,NUTR.SI,S$,4295888083.0,BMG6700D1048
OCEANSCAPE INTERNATIONAL SUSP - SUSP.29/09/25,OCES.SI,S$,5064617831.0,SGXE31442804
OMS ENERGY TECHNOLOGIES,OMSE.O,U$,5090705260.0,KYG6755S1057
ONEAPEX,ONEA.SI,S$,5001438899.0,SG2C90967473
