company,ticker,country,Year,emissions_intensity,environmental_investment,internal_carbon_pricing
BIEN HOA PACKAGING,VN000000SVI5,Vietnam,2023,865.82211556,,
BIEN HOA PACKAGING,VN000000SVI5,Vietnam,2024,877.14502483,,
BINH DIEN FERTILIZERS,VN000000BFC7,Vietnam,2015,1481.36623838,,
BINH DIEN FERTILIZERS,VN000000BFC7,Vietnam,2016,1638.55312432,,
BINH DIEN FERTILIZERS,VN000000BFC7,Vietnam,2017,1750.49737444,,
BINH DIEN FERTILIZERS,VN000000BFC7,Vietnam,2018,1753.34560841,,
BINH DIEN FERTILIZERS,VN000000BFC7,Vietnam,2019,1963.32969479,,
BINH DIEN FERTILIZERS,VN000000BFC7,Vietnam,2020,2096.74930173,,
BINH DIEN FERTILIZERS,VN000000BFC7,Vietnam,2021,1792.56106941,,
BINH DIEN FERTILIZERS,VN000000BFC7,Vietnam,2022,1424.62078124,,
BINH DIEN FERTILIZERS,VN000000BFC7,Vietnam,2023,1573.82439291,,
BINH DIEN FERTILIZERS,VN000000BFC7,Vietnam,2024,1649.02248138,,
BINH DINH MINERALS,VN000000BMC3,Vietnam,2015,4294.92813818,,
BINH DINH MINERALS,VN000000BMC3,Vietnam,2016,6913.79406271,,
BINH DINH MINERALS,VN000000BMC3,Vietnam,2017,6934.15631195,,
BINH DINH MINERALS,VN000000BMC3,Vietnam,2018,7208.59463755,,
BINH DINH MINERALS,VN000000BMC3,Vietnam,2019,7431.68037401,,
BINH DINH MINERALS,VN000000BMC3,Vietnam,2020,5846.67076739,,
BINH DINH MINERALS,VN000000BMC3,Vietnam,2021,4711.65555137,,
BINH DINH MINERALS,VN000000BMC3,Vietnam,2022,2638.50771566,,
BINH DINH MINERALS,VN000000BMC3,Vietnam,2023,2127.25889968,,
BINH DINH MINERALS,VN000000BMC3,Vietnam,2024,2221.00196796,,
BINH DINH PHARMACEUTICAL,VN000000DBD0,Vietnam,2015,384.94303091,,
BINH DINH PHARMACEUTICAL,VN000000DBD0,Vietnam,2016,413.27000288,,
BINH DINH PHARMACEUTICAL,VN000000DBD0,Vietnam,2017,591.70786556,,
BINH DINH PHARMACEUTICAL,VN000000DBD0,Vietnam,2018,541.00043096,,
BINH DINH PHARMACEUTICAL,VN000000DBD0,Vietnam,2019,547.00589866,,
